Village_Code,Town_Code,縣市,鄉鎮區,村里,KMT,DPP,PFP,KMT_rate,DPP_rate,PFP_rate,Valid_Votes,Invalid_Votes,Votes,Valid_People,Votes_Rate
6600400-011,6600400,台中市,西區,民龍里,612,1012,306,0.317098446,0.524352332,0.158549223,1930,29,1959,3089,0.634185821
6600400-012,6600400,台中市,西區,後龍里,629,1248,296,0.289461574,0.574321215,0.136217211,2173,30,2203,3299,0.667778115
6600400-013,6600400,台中市,西區,安龍里,565,1035,210,0.312154696,0.571823204,0.116022099,1810,22,1832,2755,0.664972777
6600400-014,6600400,台中市,西區,吉龍里,1339,2187,621,0.322884013,0.527369183,0.149746805,4147,66,4213,6204,0.679078014
6600400-015,6600400,台中市,西區,昇平里,1104,2023,505,0.303964758,0.556993392,0.13904185,3632,46,3678,5423,0.678222386
6600400-016,6600400,台中市,西區,忠明里,1066,1941,492,0.304658474,0.554729923,0.140611603,3499,47,3546,5445,0.651239669
6600400-017,6600400,台中市,西區,公正里,1165,2158,585,0.298106448,0.552200614,0.149692938,3908,42,3950,5681,0.695300123
6600400-018,6600400,台中市,西區,土庫里,1113,2015,472,0.309166667,0.559722222,0.131111111,3600,49,3649,5296,0.689010574
6600400-019,6600400,台中市,西區,忠誠里,1123,2064,496,0.304914472,0.560412707,0.134672821,3683,47,3730,5542,0.673042223
6600400-020,6600400,台中市,西區,公益里,490,1132,286,0.256813417,0.593291405,0.149895178,1908,19,1927,2721,0.708195516
6600400-021,6600400,台中市,西區,中興里,698,1440,321,0.283855226,0.585603904,0.13054087,2459,28,2487,3534,0.703735144
6600400-022,6600400,台中市,西區,公平里,917,1577,425,0.314148681,0.540253511,0.145597807,2919,38,2957,4546,0.650461945
6600400-023,6600400,台中市,西區,公德里,820,1444,387,0.309317239,0.544700113,0.145982648,2651,27,2678,3977,0.673371888
6600400-024,6600400,台中市,西區,?龍里,638,919,260,0.351128233,0.505778756,0.14309301,1817,22,1839,2732,0.673133236
6600400-025,6600400,台中市,西區,大忠里,885,1449,450,0.317887931,0.520474138,0.161637931,2784,36,2820,4009,0.703417311
6601300-001,6601300,台中市,沙鹿區,居仁里,267,547,140,0.279874214,0.573375262,0.146750524,954,15,969,1353,0.716186253
6601300-002,6601300,台中市,沙鹿區,洛泉里,497,794,177,0.338555858,0.540871935,0.120572207,1468,23,1491,1998,0.746246246
6601300-003,6601300,台中市,沙鹿區,沙鹿里,171,452,84,0.241867044,0.639321075,0.118811881,707,8,715,960,0.744791667
6601300-004,6601300,台中市,沙鹿區,美仁里,113,192,61,0.308743169,0.524590164,0.166666667,366,6,372,497,0.748490946
6601300-005,6601300,台中市,沙鹿區,興仁里,490,904,241,0.29969419,0.552905199,0.147400612,1635,24,1659,2309,0.718492854
6601300-006,6601300,台中市,沙鹿區,斗抵里,845,1676,420,0.287317239,0.569874192,0.142808569,2941,50,2991,4127,0.72473952
6601300-007,6601300,台中市,沙鹿區,鹿峰里,837,1945,395,0.263456091,0.612212779,0.12433113,3177,51,3228,4665,0.691961415
6601300-008,6601300,台中市,沙鹿區,鹿寮里,1120,2680,584,0.255474453,0.611313869,0.133211679,4384,64,4448,6232,0.713735558
6601300-009,6601300,台中市,沙鹿區,竹林里,1450,2405,704,0.318052204,0.527527967,0.154419829,4559,66,4625,6739,0.686303606
6601300-010,6601300,台中市,沙鹿區,犁分里,167,439,91,0.239598278,0.629842181,0.130559541,697,8,705,1007,0.700099305
6601300-011,6601300,台中市,沙鹿區,北勢里,864,1663,484,0.286947858,0.552308203,0.160743939,3011,53,3064,4385,0.698745724
6601300-012,6601300,台中市,沙鹿區,福興里,692,1127,431,0.307555556,0.500888889,0.191555556,2250,50,2300,3228,0.712515489
6601300-013,6601300,台中市,沙鹿區,晉江里,281,656,167,0.254528986,0.594202899,0.151268116,1104,24,1128,1558,0.724005135
6601300-014,6601300,台中市,沙鹿區,六路里,736,1555,534,0.260530973,0.550442478,0.189026549,2825,42,2867,4258,0.673320808
6601300-015,6601300,台中市,沙鹿區,南勢里,551,1159,361,0.266055046,0.559633028,0.174311927,2071,39,2110,3027,0.697059795
6601300-016,6601300,台中市,沙鹿區,埔子里,949,1621,607,0.298709474,0.510229777,0.191060749,3177,52,3229,4553,0.709202723
6601300-017,6601300,台中市,沙鹿區,公明里,1044,1118,498,0.392481203,0.420300752,0.187218045,2660,40,2700,3967,0.680615074
6601300-018,6601300,台中市,沙鹿區,清泉里,540,658,282,0.364864865,0.444594595,0.190540541,1480,17,1497,2163,0.692094313
6601300-019,6601300,台中市,沙鹿區,西勢里,471,737,213,0.331456721,0.518648839,0.149894441,1421,22,1443,2075,0.695421687
6601300-020,6601300,台中市,沙鹿區,興安里,653,1273,317,0.291127954,0.567543469,0.141328578,2243,27,2270,3157,0.719037061
6601300-021,6601300,台中市,沙鹿區,三鹿里,1020,1983,805,0.267857143,0.520745798,0.211397059,3808,79,3887,5691,0.683008259
6602900-001,6602900,台中市,和平區,南勢里,406,526,229,0.349698536,0.453057709,0.197243755,1161,19,1180,1804,0.654101996
6602900-002,6602900,台中市,和平區,天輪里,88,121,46,0.345098039,0.474509804,0.180392157,255,2,257,436,0.589449541
6602900-003,6602900,台中市,和平區,博愛里,359,310,296,0.372020725,0.321243523,0.306735751,965,6,971,1554,0.624839125
6602900-004,6602900,台中市,和平區,中坑里,123,145,44,0.394230769,0.46474359,0.141025641,312,5,317,425,0.745882353
6602900-005,6602900,台中市,和平區,自由里,317,153,172,0.49376947,0.238317757,0.267912773,642,7,649,997,0.650952859
